epoch, train_loss, train_accuracy, valid_loss, valid_accuracy
0,1,0,1,0
0,0.11666778884821939,0.8920836448669434,0.24498525091597545,0.9007769823074341
1,0.014839559463901206,0.9428849816322327,0.22512554655561573,0.9326239228248596
2,0.007788732275803148,0.9529094099998474,0.19610752414976532,0.9401849508285522
3,0.011140736862968832,0.9546225666999817,0.1790312569169251,0.9235848188400269
4,0.00926839739661231,0.9556156992912292,0.2426907082892057,0.9323581457138062
5,0.005219141798382128,0.957684338092804,0.1604749531374296,0.9407751560211182
6,0.005875055248944546,0.9593378305435181,0.3900833059741621,0.9170069694519043
7,0.004732176778350951,0.9553816914558411,0.19429527854288717,0.9375562071800232
8,0.007683060534798731,0.9521113634109497,0.2595110899111196,0.9382769465446472
9,0.004899704585528295,0.9608904719352722,0.22654525240711873,0.9485102891921997
